,mw_hum_average_clarity,mw_status,wd_hum_average_clarity,wd_status,yd_hum_average_clarity,yd_status
0,5.0,0,4.6,1,4.6,0
1,3.4,0,3.4,1,3.0,1
2,4.0,1,4.2,0,3.2,0
3,4.0,0,3.8,0,4.0,0
4,4.6,0,4.6,0,3.8,0
5,4.6,0,4.2,1,4.2,0
6,4.8,0,4.4,1,4.4,0
7,4.8,0,4.8,0,4.0,0
8,5.0,0,4.8,1,4.2,1
9,4.8,0,4.8,0,4.8,0
10,4.0,0,3.2,0,3.2,1
11,3.6,0,3.6,0,2.6,0
12,3.6,0,4.0,0,2.2,0
13,5.0,0,5.0,0,4.8,1
14,5.0,0,5.0,1,5.0,1
15,4.8,0,4.6,1,4.0,1
16,3.6,0,3.4,0,3.8,0
17,4.6,0,4.2,1,4.4,0
18,5.0,0,5.0,1,5.0,1
19,4.8,0,4.8,1,4.4,1
20,4.0,0,5.0,1,4.6,1
21,4.4,0,3.0,1,3.4,1
22,4.2,1,4.0,1,3.4,1
23,5.0,0,5.0,1,5.0,1
24,4.8,0,4.4,0,4.8,0
25,3.2,0,2.8,0,2.8,0
26,3.6,0,3.4,1,3.0,1
27,4.2,0,4.0,1,4.2,1
28,4.8,1,5.0,0,4.6,0
29,4.6,0,3.8,1,2.8,1
30,3.0,0,2.8,0,2.6,0
31,2.8,0,2.2,1,2.4,1
32,4.8,0,3.8,1,4.2,1
33,4.0,0,4.2,1,4.0,1
34,4.6,0,4.2,0,4.8,0
35,3.8,0,5.0,1,4.6,1
36,4.0,0,4.4,0,4.8,0
37,4.8,0,4.8,0,4.6,0
38,3.6,0,4.6,1,4.2,1
39,5.0,1,5.0,0,5.0,0
40,2.8,1,2.4,0,3.2,0
41,4.2,0,3.4,0,4.0,0
42,5.0,0,5.0,0,5.0,0
43,5.0,0,5.0,1,5.0,1
44,5.0,1,4.2,0,5.0,0
45,3.6,0,2.6,1,3.4,1
46,4.2,0,4.4,0,4.2,1
47,2.2,1,3.0,0,2.2,0
48,3.8,0,4.2,0,3.8,0
49,3.4,0,4.4,0,4.6,0
50,3.0,0,3.0,0,3.0,1
51,5.0,0,4.6,0,4.2,1
52,4.6,0,5.0,1,5.0,1
53,5.0,0,4.0,1,4.4,1
54,3.2,0,2.6,1,2.8,1
55,3.2,1,3.6,1,4.2,0
56,5.0,1,4.2,1,5.0,0
57,3.6,0,3.0,1,2.8,1
58,5.0,0,4.6,1,4.8,0
59,4.6,0,3.6,0,2.6,0
60,5.0,0,4.4,1,4.8,0
61,4.2,0,4.6,1,3.8,0
62,3.4,0,3.8,1,3.6,0
63,5.0,1,5.0,0,5.0,0
64,2.2,0,2.4,1,3.0,0
65,5.0,0,4.4,0,4.4,0
66,5.0,0,5.0,0,5.0,0
67,4.0,0,3.4,1,3.6,0
68,4.8,0,4.8,1,4.2,1
69,4.4,0,3.6,1,3.2,1
70,5.0,0,4.6,0,5.0,0
71,4.0,0,4.6,1,4.8,1
72,5.0,0,5.0,1,4.2,1
73,2.2,1,2.4,0,2.8,0
74,5.0,0,4.0,1,4.2,1
75,5.0,0,4.6,1,5.0,1
76,4.4,0,4.8,0,4.6,0
77,4.6,1,4.2,1,4.4,0
78,5.0,0,5.0,1,4.4,1
79,5.0,0,5.0,1,5.0,1
80,5.0,0,5.0,1,5.0,1
81,5.0,0,4.8,1,4.8,1
82,5.0,1,5.0,0,5.0,0
83,3.0,0,3.0,1,3.0,0
84,3.6,0,3.8,1,4.4,0
85,3.0,1,2.2,1,2.8,0
86,3.6,1,1.8,1,3.4,0
87,4.2,1,4.2,0,4.2,1
88,3.0,1,2.6,0,2.4,1
89,5.0,0,4.6,1,5.0,1
90,5.0,1,5.0,0,5.0,0
91,4.2,1,3.2,0,3.6,0
92,5.0,0,5.0,1,5.0,1
93,5.0,0,5.0,0,5.0,1
94,3.8,1,3.6,0,3.4,0
95,4.4,1,4.4,0,3.2,0
96,5.0,1,3.8,0,4.4,0
97,3.0,1,2.8,1,2.4,1
98,5.0,1,5.0,0,5.0,0
99,3.4,1,3.4,0,2.4,0
100,3.6,1,3.8,0,2.8,1
101,5.0,1,4.8,0,5.0,0
102,4.2,1,4.0,1,3.4,0
103,3.2,0,3.2,1,3.8,0
104,4.0,0,4.2,0,4.2,0
105,2.6,0,3.4,0,3.6,1
106,4.8,1,5.0,0,4.8,0
107,4.4,0,4.4,1,4.6,1
108,4.8,0,4.6,0,4.8,1
109,5.0,0,4.6,1,5.0,0
110,4.4,0,4.2,0,4.0,0
111,1.0,1,1.0,0,1.0,0
112,4.6,0,4.4,1,2.6,0
113,3.0,0,2.8,0,3.4,0
114,4.6,0,4.8,1,5.0,1
115,5.0,0,5.0,0,5.0,0
116,5.0,0,5.0,0,5.0,0
